id site;x;y
401;969;412
402;934;934
403;355;597
404;366;211
405;256;799
406;848;727
407;935;346
408;51;514
409;1123;329
410;861;558
411;459;109
412;787;94
413;151;914
414;791;280
415;688;405
416;854;452
417;849;39
418;170;1101
419;899;725
420;1133;728
421;121;1137
422;470;357
423;330;179
424;270;345
425;809;434
426;69;286
427;219;28
428;373;471
429;8;1022
430;71;896
431;505;438
432;515;908
433;254;1126
434;298;104
435;457;514
436;336;139
437;427;449
438;874;32
439;1082;1096
440;588;1135
441;405;1003
442;462;75
443;1053;524
444;740;194
445;24;733
446;592;589
447;828;332
448;1072;745
449;1117;979
450;133;903
451;352;914
452;593;798
453;543;1022
454;498;925
455;203;91
456;663;507
457;764;918
458;694;43
459;1119;1017
460;902;203
461;1014;1094
462;838;1075
463;984;949
464;245;167
465;655;580
466;154;34
467;66;492
468;766;1145
469;660;966
470;457;424
471;648;568
472;421;470
473;1113;1083
474;142;75
475;950;357
476;887;1124
477;1136;1001
478;816;695
479;185;105
480;479;588
481;336;445
482;557;68
483;624;555
484;640;742
485;331;101
486;425;374
487;60;911
488;73;280
489;112;275
490;952;152
491;521;761
492;530;459
493;71;473
494;183;364
495;395;155
496;871;853
497;647;587
498;974;591
499;668;514
500;123;735
